,word
0,Poverty 
1,Poor 
2,Crime 
3,Violence 
4,Thief 
5,Theft 
6,Stolen 
7,Encampment 
8,Camp 
9,Camper 
10,Tent 
11,Shelter 
12,Housing 
13,Low-income 
14,Homeless 
15,Homelessness 
16,Camper 
17,Camping 
18,Tent 
19,Unhoused 
20,Affordable 
21,Affordable housing 
22,Substance use 
23,Addict
24,Addicted 
25,Drugs 
26,Evicted
27,Eviction
28,Evict 
29,Narcotics 
30,Alcoholic 
31,Drugs
32,drug use 
33,Social Housing 
34,PovertyPimps 
35,Collude
36,Collusion 
37,Overdose
38,overdosed 
39,Social structure 
40,Social problem 
