,organizations
0, BC_Housing
1, Island Health 
2, VanIslandHealth 
3, HomeforHope
4, VREB 
5, CityofVictoria 
6, EsquimaltBC 
7, Vicpdcanada 
8, BeaconSave 
9, BurnsideGorge 
10, FernwoodFCA 
11, WeAreNorthPark 
12, FernwoodFCA 
13, crd_bc 
14, uvic 
15, SaanichPolice 
16, Ourplacesociety 
17, VicCoolAid 
18, PacificaHousing 
19, CSPC_Victoria 
20, NEED_2 
21, SAFERVic 
22, UmbrellaSociety 
23, TheCridgeCentre 
24, MustardSeedVic 
25, AVIVanIsle 
26, VicFoundation 
27, myDVBA 
28, TourismVI 
29, victoriavisitor 
30, VictoriaWorkBC 
31, SookeCoalition 
32, workingupstream 
33, existenceprojct 
34, SaferVic 
35, Soap4HopeYYJ 
36, JohnHoward_Can 
37, HouseAnawim 
38, TogetherVic 
39, MHSVictoria 
40, BeaconHillFolks 
41, HouseSooke 
42, OutreachSolid 
43, TheBackPackPro1 
44, TAGVictoriaBC 
45, TalktoAryze 
46, Acehsociety 
47, YoungParentsSup 
48, FirstMetVic 
49, VicPlaceMaking 
50, DRCVictoria 
51, SalArmyVicARC 
52, SubstanceUVic 
53, yyjpolitics 
54, vfamcourt 
55, cspoliceservice 
56, SJAVicBC 
57, UnitedAtOakBay 
58, IslandComMHA 
59, ILFP_Victoria 
60, RentSmartEdu 
61, EsquimaltNation 
62, FoundryVictoria 
63, jamesbaycp 
64, 1upParents 
65, SanctuaryYC 
66, fernwoodvic 
67, HTAFVictoria 
68, yyjtenantsunion 
69, HillsideQuadra 
70, SVDPVI 
71, makolahousing 
72, VANDUpeople 
73, SPD_Community 
74, AnawimHouse 
75, yyj_housing 
76, peersvictoria 
77, QuadraVillage 
78, South_Island_C 
79, VictoriaDRA 
80, VicYouthCouncil 
81, wschamber1 
82, MHRPSOUTHISLAND 
83, saltspringx 
84, VictoriaWTH 
85, ExtremeOutreach 
86, varcsvictoria 
87, HabitatVictoria 
